Gene1,Gene2,Score
FOS,UBE2C,2792.0
FOS,CDCA3,899.0
FOS,CELA1,1113.0
FOS,LSP1,1214.0
FOS,CDT1,986.0
FOS,CENPA,401.0
FOS,CCNB2,590.0
FOS,F2R,1070.0
FOS,GCNT2,573.0
FOS,SPHK1,428.0
FOS,MT2,425.0
FOS,MNS1,477.0
FOS,SLC11A2,544.0
FOS,AQP9,565.0
FOS,BIRC5,584.0
FOS,MT1,413.0
FOS,MKI67,533.0
FOS,CTLA2A,1164.0
FOS,JUN,587.0
FOS,DUSP1,369.0
FOS,DUSP2,389.0
FOS,CCNA2,233.0
FOS,RRM2,304.0
FOS,CDC20,269.0
FOS,LY6A,331.0
FOS,STEAP3,212.0
FOS,RTP4,240.0
FOS,PTDSS2,169.0
FOS,SERPINA3G,307.0
FOS,ANXA5,183.0
FOS,GSTM5,289.0
FOS,OPTN,202.0
FOS,CTSE,198.0
FOS,TBXAS1,170.0
FOS,PROCR,187.0
FOS,ATP1B2,201.0
FOS,RGS1,157.0
FOS,GIMAP6,166.0
FOS,MINPP1,148.0
FOS,LYZ2,167.0
FOS,TNFAIP2,176.0
FOS,BLVRB,157.0
FOS,TRIM47,136.0
FOS,CDC6,129.0
FOS,PIGQ,226.0
FOS,PLA2G12A,177.0
FOS,ALDH1A1,176.0
FOS,NCEH1,173.0
FOS,CYTH3,172.0
FOS,CPOX,157.0
FOS,MYCN,146.0
FOS,HACD4,134.0
GFI1B,BIRC5,326.0
GFI1B,JUN,689.0
GFI1B,PROCR,584.0
GFI1B,CDCA3,256.0
GFI1B,RTP4,386.0
GFI1B,NCEH1,191.0
GFI1B,BLVRB,316.0
GFI1B,PIGQ,161.0
GFI1B,GCNT2,185.0
GFI1B,UBE2C,169.0
GFI1B,MYCN,244.0
GFI1B,CD82,244.0
GFI1B,CDT1,216.0
GFI1B,EPOR,188.0
GFI1B,PTDSS2,174.0
GFI1B,CDC6,156.0
GFI1B,CCNB2,156.0
GFI1B,PLA2G12A,134.0
GFI1B,SLC16A1,133.0
GFI1B,FOS,129.0
GFI1B,CCNA2,125.0
GFI1B,EPDR1,123.0
GFI1B,CTLA2A,119.0
GFI1B,STEAP3,115.0
GFI1B,CPOX,114.0
JUN,CDT1,2065.0
JUN,TRIM47,2426.0
JUN,LSP1,1535.0
JUN,CELA1,1519.0
JUN,DUSP1,1174.0
JUN,RTP4,1598.0
JUN,F2R,1266.0
JUN,OPTN,1635.0
JUN,MT1,1168.0
JUN,BIRC5,819.0
JUN,CENPA,1173.0
JUN,MT2,961.0
JUN,AQP9,1201.0
JUN,GIMAP6,948.0
JUN,RGS1,963.0
JUN,MINPP1,1054.0
JUN,CTSE,1022.0
JUN,DUSP2,1495.0
JUN,TBXAS1,1094.0
JUN,LDHB,1073.0
JUN,LY6A,899.0
JUN,GCNT2,968.0
JUN,BLVRB,1266.0
JUN,ANXA5,738.0
JUN,SPHK1,644.0
JUN,CDCA3,542.0
JUN,PROCR,925.0
JUN,SERPINA3G,1040.0
JUN,CD82,534.0
JUN,MKI67,1013.0
JUN,TNFAIP2,1463.0
JUN,HACD4,534.0
JUN,CCNA2,409.0
JUN,LYZ2,472.0
JUN,GSTM5,965.0
JUN,HLF,458.0
JUN,NCEH1,407.0
JUN,PTDSS2,1088.0
JUN,CYTH3,598.0
JUN,FOS,388.0
JUN,CDC6,257.0
JUN,STEAP3,392.0
JUN,ST3GAL5,679.0
JUN,STOM,347.0
JUN,C1QTNF12,328.0
JUN,FECH,264.0
JUN,UBAC1,280.0
JUN,PIGQ,569.0
JUN,ASNS,423.0
JUN,SEPT8,437.0
JUN,GFI1B,303.0
JUN,CDC20,213.0
JUN,HEMGN,342.0
JUN,GATM,309.0
JUN,CCNB2,171.0
JUN,BAG2,303.0
JUN,SLC16A1,191.0
JUN,SPPL2B,257.0
JUN,ATP1B2,323.0
JUN,TXNRD2,228.0
JUN,MNS1,138.0
JUN,PLA2G12A,345.0
JUN,CPOX,154.0
JUN,MYCN,145.0
JUN,ALDH1A1,130.0
JUN,EPDR1,218.0
JUN,SLC11A2,194.0
JUN,UBE2C,187.0
JUN,AQP1,182.0
JUN,RRM2,157.0
JUN,TMEM176A,147.0
JUN,GYPA,139.0
JUN,ZFP36,102.0
JUN,PGLYRP2,416.0
