Gene1,Gene2,Score
FOS,LSP1,1214.0
FOS,CENPA,401.0
FOS,CCNB2,590.0
FOS,SPHK1,428.0
FOS,MT2,425.0
FOS,MKI67,533.0
FOS,JUN,587.0
FOS,DUSP1,369.0
FOS,CCNA2,233.0
FOS,RRM2,304.0
FOS,LY6A,331.0
FOS,SERPINA3G,307.0
FOS,TBXAS1,170.0
FOS,ATP1B2,201.0
FOS,RGS1,157.0
FOS,GIMAP6,166.0
FOS,TNFAIP2,176.0
FOS,BLVRB,157.0
GFI1B,JUN,689.0
GFI1B,BLVRB,316.0
GFI1B,EPOR,188.0
GFI1B,CCNB2,156.0
GFI1B,FOS,129.0
GFI1B,CCNA2,125.0
GFI1B,EPDR1,123.0
JUN,LSP1,1535.0
JUN,DUSP1,1174.0
JUN,CENPA,1173.0
JUN,MT2,961.0
JUN,GIMAP6,948.0
JUN,RGS1,963.0
JUN,TBXAS1,1094.0
JUN,LDHB,1073.0
JUN,LY6A,899.0
JUN,BLVRB,1266.0
JUN,SPHK1,644.0
JUN,SERPINA3G,1040.0
JUN,MKI67,1013.0
JUN,TNFAIP2,1463.0
JUN,CCNA2,409.0
JUN,HLF,458.0
JUN,FOS,388.0
JUN,STOM,347.0
JUN,C1QTNF12,328.0
JUN,FECH,264.0
JUN,ASNS,423.0
JUN,GFI1B,303.0
JUN,HEMGN,342.0
JUN,CCNB2,171.0
JUN,ATP1B2,323.0
JUN,EPDR1,218.0
JUN,AQP1,182.0
JUN,RRM2,157.0
JUN,TMEM176A,147.0
JUN,ZFP36,102.0
